Player Name,Player Jersey Number,Player Position,Player Age,Player Weight (lbs.),Years Played,"Player Birthplace (city, town, etc.)",Player Birth State,Player College,Player Team,Conference,State GEO ID,Full GEOID,Latitude (player birthplace),Longitude (player birthplace)
Stefen Wisniewski,#61,C/LOG,28,305,7,Pittsburgh,Pennsylvania,Penn State,Philadelphia,NFC,42,0400000US42,40.441694,-79.990086
Jason Kelce,#62,C,30,295,7,Cleveland Heights,Ohio,Cincinnati,Philadelphia,NFC,39,0400000US39,41.520052,-81.556235
Chris Long,#56,DE/LDE,32,270,10,Santa Monica,California,Virginia,Philadelphia,NFC,6,0400000US06,34.01956,-118.486974
Mack Hollins,#10,WR,24,221,R,Rockville,Maryland,North Carolina,Philadelphia,NFC,24,0400000US24,39.084005,-77.152757
Fletcher Cox,#91,DT/LDT,27,310,6,Yazoo City,Mississippi,Mississippi State,Philadelphia,NFC,28,0400000US28,32.855133,-90.405647
Brent Celek,#87,TE,32,255,11,Cincinnati,Ohio,Cincinnati,Philadelphia,NFC,39,0400000US39,39.101454,-84.51246
Carson Wentz,#11,QB,25,237,2,Raleigh,North Carolina,North Dakota State,Philadelphia,NFC,37,0400000US37,35.780398,-78.639099
Zach Ertz,#86,TE,27,250,5,Orange,California,Stanford,Philadelphia,NFC,6,0400000US06,33.750038,-117.870493
Brandon Brooks,#79,G/ROG,28,335,6,Milwaukee,Wisconsin,Miami (OH),Philadelphia,NFC,55,0400000US55,43.034993,-87.922497
Bryan Braman,#50,LB/LLB,30,241,7,Spokane,Washington,West Texas A&M,Philadelphia,NFC,53,0400000US53,47.65886,-117.424713
Nate Sudfeld,#7,QB,24,227,2,Modesto,California,Indiana,Philadelphia,NFC,6,0400000US06,37.639097,-120.996878
Halapoulivaati Vaitai,#72,T/LOT,24,320,2,Haltom City,Texas,TCU,Philadelphia,NFC,48,0400000US48,32.799574,-97.269182
Lane Johnson,#65,T/ROT,27,317,5,Groveton,Texas,Oklahoma,Philadelphia,NFC,48,0400000US48,31.054907,-95.125769
Nick Foles,#9,QB,28,243,6,Austin,Texas,Arizona,Philadelphia,NFC,48,0400000US48,30.271129,-97.743699
Will Beatty,#66,T/LOT,32,319,9,York,Pennsylvania,Connecticut,Philadelphia,NFC,42,0400000US42,39.962398,-76.727392
Donnie Jones,#8,P/HLD,37,221,14,Baton Rouge,Louisiana,LSU,Philadelphia,NFC,22,0400000US22,30.450746,-91.154551
Kamu Grugier-Hill,#54,LB/SPTM/RLB,23,220,2,Honolulu,Hawaii,Eastern Illinois,Philadelphia,NFC,15,0400000US15,21.304547,-157.855676
Isaac Seumalo,#73,G/ROG,24,303,2,Honolulu,Hawaii,Oregon State,Philadelphia,NFC,15,0400000US15,21.304547,-157.855676
